,position of first of a pair,position of second of a pair,score of first of a pair,token before the pair,score of the token before the pair,position of max score in saliency map,max score in saliency map,max score token,sum of score between pair,which smile
0,4,16,0.0011195979313924909,C,0.0005845120176672935,15,0.8427395224571228,1,0.9899017214775085,0
1,22,31,0.002739746356382966,C,5.8610065025277436e-05,30,0.9943047165870667,2,0.9968125224113464,0
2,33,35,1.6220670362443457e-09,C,4.44800609105539e-13,6,0.8230785131454468,C,1.8535158233135007e-05,0
3,12,15,1.701532892184332e-05,C,1.1056089377348144e-09,14,0.9999827146530151,O,0.999983012676239,1
4,22,31,5.732481817791873e-14,c,7.405132178295044e-15,29,0.9999264478683472,s,1.0,1
5,10,35,0.0014405621914193034,c,9.295665950048715e-05,33,0.5039210319519043,[nH],0.9646942615509033,1
6,6,15,1.9688889673547598e-26,N,5.849187661540998e-25,12,1.0,[nH],1.0,2
7,17,20,1.205106627821806e-07,C,9.769786757374277e-09,19,0.9999985694885254,O,0.9999995231628418,2
8,25,27,1.0167168493934427e-30,c,1.548326141404127e-25,26,1.0,Cl,1.0,2
9,30,32,6.958839060544619e-10,c,1.0736024699462e-12,31,1.0,Cl,1.0,2
10,5,8,5.668375546719062e-09,C,6.795210227839021e-11,7,1.0,O,1.0,3
11,23,25,1.9673557422297529e-25,c,7.878437060615842e-26,3,0.9553964138031006,N,1.4867788684521376e-24,3
12,17,29,2.39562982526356e-19,c,3.413418635719462e-20,3,0.9691172242164612,N,0.002360285259783268,3
13,3,6,3.4389420200398035e-09,C,2.4428648340291126e-11,5,1.0,O,1.0,4
14,19,22,0.00021241026115603745,C,3.429937805776717e-06,21,0.9990022778511047,O,0.9996778964996338,4
15,14,31,4.350257313490147e-06,c,8.604343015861105e-09,1,0.4688275158405304,C,0.0007047866238281131,4
16,34,36,0.00442427396774292,C,9.311564781455672e-07,32,0.7431280016899109,O,0.05274461209774017,4
17,11,14,4.1353427349122285e-09,C,1.7841749799731873e-16,13,1.0,O,1.0,5
18,18,21,7.89347699616666e-14,C,3.8002311022395884e-19,20,1.0,O,1.0,5
19,9,38,0.004802829585969448,c,1.3497056897904258e-05,29,0.8016309142112732,C,0.967420756816864,5
20,7,9,0.02002514712512493,c,0.08613619953393936,5,0.30476126074790955,n,0.23131965100765228,6
21,15,18,3.0500661523547024e-05,C,6.700154244754231e-07,17,0.9999028444290161,O,0.9999671578407288,6
22,20,22,0.10073594748973846,C,0.006961730774492025,13,0.16091157495975494,N,0.13257063925266266,6
23,11,30,9.177169441043631e-12,c,1.0458929729229016e-11,27,0.976168692111969,s,1.0,6
24,4,7,3.7860017898516674e-10,S,3.854315480111836e-07,6,0.9999996423721313,O,0.9999996423721313,7
25,16,19,0.00011150804493809119,c,3.760796971619129e-07,18,0.9998244643211365,1,0.999832034111023,7
26,8,26,0.004728289786726236,),1.219953628606163e-05,3,0.6312270760536194,S,0.3631197512149811,7
27,4,11,0.0013471069978550076,C,0.0013811407843604684,10,0.9315227270126343,1,0.9880570769309998,8
28,27,29,2.2259020002218148e-17,c,3.285475190517584e-13,28,1.0,F,1.0,8
29,21,33,0.0002652884286362678,N,1.0428782843519002e-05,32,0.5601316094398499,3,0.9996641874313354,8
30,3,6,4.370767303640832e-09,C,1.0371027647781972e-10,5,1.0,O,1.0,9
31,17,20,1.3605566326346796e-11,C,5.0162816457449214e-17,19,1.0,O,1.0,9
32,27,29,1.246343158587873e-32,c,7.888928034357157e-30,28,1.0,Cl,1.0,9
33,14,33,0.0,c,0.0,32,1.0,Cl,1.0,9
