,position of first of a pair,position of second of a pair,score of first of a pair,token before the pair,score of the token before the pair,position of max score in saliency map,max score in saliency map,max score token,sum of score between pair,which smile
0,11,14,8.881423809725675e-07,C,6.143779707201702e-09,13,0.9999501705169678,O,0.9999502897262573,0
1,20,24,0.027089815586805344,N,0.06400767713785172,23,0.777869462966919,1,0.7886060476303101,0
2,27,30,1.1183925600198903e-23,C,3.5762494800884366e-23,29,1.0,O,1.0,0
3,32,34,0.24079769849777222,N,0.02602226473391056,32,0.24079769849777222,(,0.024939537048339844,0
4,19,24,4.4272724153415766e-08,C,5.513756118347146e-10,17,0.9925535321235657,C,2.108133583260231e-16,1
5,26,29,0.0,C,0.0,19,0.9241781830787659,(,0.0,1
6,35,38,6.540797767229378e-05,C,1.12365715690399e-12,16,0.797450840473175,=,4.8577099676094804e-08,1
7,40,42,2.0340672563179396e-05,C,0.00037768142647109926,29,0.5961888432502747,),3.205806820005819e-07,1
8,10,14,6.379098828791926e-16,C,7.807969797212254e-23,13,1.0,1,1.0,2
9,20,25,1.4699469197410053e-08,N,4.090692982572364e-06,24,0.8200032711029053,C,0.9999895095825195,2
10,27,30,2.486923449396272e-06,C,2.68343740117416e-07,29,0.999947190284729,O,0.9999557137489319,2
11,38,40,7.171317520260345e-06,N,1.6089441601252474e-07,1,0.9999881982803345,Cl,1.1410102018771795e-07,2
12,4,7,6.366677212099603e-07,S,1.2391818682289113e-09,6,0.9999994039535522,O,0.9999994039535522,3
13,8,10,0.009173665195703506,),0.0026684594340622425,3,0.6477153301239014,S,0.3133631646633148,3
14,15,18,6.127300444802586e-09,C,2.6973017952514056e-07,17,0.9999994039535522,O,0.9999995231628418,3
15,28,33,0.0004597743391059339,C,3.999444005142738e-12,20,0.9620847105979919,C,3.790335753595109e-11,3
16,15,19,1.063205104401277e-06,C,2.8537931484606816e-06,18,0.9333134293556213,2,0.9333139061927795,4
17,21,24,2.3915504313960813e-35,C,2.031596784621582e-34,23,1.0,O,1.0,4
18,35,39,5.139320080616017e-10,C,1.9945700906881525e-12,24,0.9882414937019348,),1.086940338836402e-16,4
19,11,16,0.0011480475077405572,C,0.00014432483294513077,2,0.916889488697052,#,0.05277058109641075,5
20,19,21,1.0994400554409367e-06,N,1.8147441096516559e-06,2,0.9946881532669067,#,3.251517046010122e-05,5
21,23,26,2.5688773865297793e-17,C,2.3862866961676815e-17,25,1.0,O,1.0,5
22,5,7,4.963250788136975e-08,C,2.584119647508487e-05,6,0.9999741315841675,N,0.9999741315841675,6
23,16,19,6.590143497345353e-21,C,8.847112128516193e-24,18,1.0,O,1.0,6
24,23,26,5.586705859382632e-16,C,1.5751144143666343e-20,25,1.0,O,1.0,6
25,28,30,0.041444141417741776,N,0.042340364307165146,29,0.10898078233003616,C,0.10898078233003616,6
26,32,34,0.0008751261630095541,C,6.886932533234358e-05,27,0.9613998532295227,N,0.0025553954765200615,6
27,36,38,0.00038604403380304575,C,1.6341837749678234e-07,19,0.9864577651023865,),8.976715548669745e-08,6
28,39,41,0.0036196974106132984,),1.5757765936541546e-07,36,0.5062882900238037,(,1.1171830010425765e-05,6
29,16,21,8.694866664882284e-06,C,1.1321737929392839e-06,8,0.8685216903686523,N,0.021618006750941277,7
30,23,26,5.683749274368506e-20,C,7.149218939641837e-22,25,1.0,O,1.0,7
31,32,36,1.8140361135010608e-05,N,4.718271611636737e-06,7,0.8199229836463928,1,0.010763600468635559,7
32,38,41,9.885265050968428e-09,C,1.1201407639979677e-12,40,0.9999998807907104,O,0.9999999403953552,7
33,14,16,3.3437862260966497e-15,C,4.936167918856427e-09,6,0.7760605216026306,N,3.0812232919199406e-14,8
34,20,23,1.0819556950053221e-29,C,1.2433451275784172e-27,22,1.0,O,1.0,8
35,29,31,7.845409738527209e-11,C,5.103826669833941e-16,20,0.9117142558097839,(,7.855036269328007e-15,8
36,15,18,1.429367983725507e-35,C,4.3372289418549576e-40,17,1.0,O,1.0,9
37,28,31,5.535878422335827e-10,C,5.356527938218947e-14,22,0.9089810252189636,1,0.09101533144712448,9
38,26,34,7.480961130568176e-07,N,7.95865105374105e-07,33,0.6213071346282959,O,0.621353268623352,9
39,42,47,0.0,C,0.0,31,0.9984219074249268,),0.0,9
40,6,8,3.727229636041329e-09,C,1.0822770946106175e-07,7,0.9999997615814209,Br,0.9999997615814209,10
41,21,26,3.0071519547484465e-14,C,2.6070424742890164e-15,17,0.8228590488433838,=,7.663904775558061e-13,10
42,28,31,1.8315763402471097e-13,C,1.0588200678913768e-14,30,0.9997702240943909,O,0.9997702240943909,10
43,13,16,6.396166977982897e-20,C,1.8094168513145798e-18,15,1.0,O,1.0,11
44,32,36,6.57387170762957e-21,C,1.0878400718239891e-22,21,0.9763504862785339,C,2.6387347710522813e-13,11
45,6,8,6.097246085801089e-08,C,3.365349039086141e-05,1,0.6879574656486511,C,9.583258361089975e-05,12
46,9,11,1.4166586481678678e-07,),1.2550611058035504e-15,10,0.9999998807907104,C,0.9999998807907104,12
47,20,26,5.830524187370664e-14,C,3.695388179486558e-12,12,0.9999990463256836,O,7.25195945960877e-07,12
48,28,31,2.0894567853702029e-07,S,7.858306503294443e-07,30,0.999983549118042,O,0.9999868869781494,12
49,32,35,1.9397432424739236e-06,),4.786415956914425e-07,34,0.9994441866874695,O,0.9999276399612427,12
50,16,19,0.04448196664452553,C,0.004693941213190556,18,0.907251238822937,2,0.9185133576393127,13
51,25,28,9.115673814471855e-20,C,3.618528650697712e-21,19,0.9999988079071045,),5.780117895799369e-22,13
52,36,41,1.6251740930783853e-07,C,3.562801963175044e-12,19,0.9761084914207458,),1.4169714290801494e-09,13
53,14,17,1.3108425456209716e-08,C,1.6020073871914065e-06,16,0.9997429251670837,O,0.99974524974823,14
54,25,30,0.07018125057220459,C,0.023972591385245323,29,0.6363964676856995,1,0.679328203201294,14
55,32,34,8.858242364243182e-27,C,0.0,33,1.0,F,1.0,14
56,35,37,6.777718793591961e-27,),1.3796284833416465e-25,33,1.0,F,2.9181773717528995e-26,14
57,6,8,7.169208976476327e-11,C,3.668304326964744e-09,2,0.9999942779541016,C,3.5942156273449655e-07,15
58,11,14,1.1706601071637124e-05,N,0.9822611212730408,10,0.9822611212730408,N,0.014993030577898026,15
59,16,18,0.05282452702522278,C,0.23983889818191528,17,0.4658266305923462,C,0.4658266305923462,15
60,22,25,5.176693917974262e-08,C,2.3395664072722866e-08,24,0.999984622001648,O,0.999984622001648,15
61,33,35,1.380734138134443e-10,C,6.621026328933925e-24,25,0.9997673630714417,),2.3686537185080454e-34,15
62,3,5,1.440276121023737e-13,C,2.4631066287832362e-17,4,1.0,C,1.0,16
63,6,8,2.807025722972867e-10,),6.448211756215905e-12,1,0.9999955892562866,F,4.2250721890013665e-06,16
64,11,14,1.3674038568112223e-09,C,9.197737016464202e-10,13,0.9999531507492065,O,0.9999531507492065,16
65,20,23,4.445720591661484e-08,C,4.984533896745802e-10,18,0.81971675157547,C,4.25566304733239e-19,16
66,25,28,8.220501075217288e-17,C,1.0809350572201037e-17,27,1.0,O,1.0,16
67,36,39,0.31900477409362793,C,0.00019328706548549235,34,0.556155264377594,O,0.0034576687030494213,16
68,40,42,0.00037787554902024567,),6.8703713829165736e-09,20,0.5479137897491455,(,1.4046783689991571e-05,16
69,9,12,2.1510356873477576e-06,C,8.239889837113878e-08,11,0.9265556931495667,1,0.9999388456344604,17
70,15,18,1.8899105498348945e-06,C,6.914914365552249e-07,17,0.9999396800994873,O,0.999977707862854,17
71,25,29,0.1408408135175705,C,0.00011868939327541739,18,0.32399982213974,),0.2033376693725586,17
72,37,39,5.163797512064026e-26,C,8.741299820458209e-42,38,1.0,F,1.0,17
73,7,9,3.728293021532103e-11,C,7.278347439717073e-14,8,1.0,Cl,1.0,18
74,16,19,7.406891465726491e-15,C,4.646898022072834e-18,18,1.0,O,1.0,18
75,29,34,0.0027181203477084637,C,3.499574449961074e-05,8,0.5777702927589417,Cl,0.007218181621283293,18
76,36,38,0.04501988738775253,S,0.3528187870979309,35,0.3528187870979309,S,0.08487454056739807,18
77,39,42,6.387528006523979e-11,),8.091354253281224e-10,41,1.0,O,1.0,18
78,10,13,5.1909658619090845e-14,C,4.392112541717896e-12,12,1.0,O,1.0,19
79,20,24,0.0004959428915753961,C,2.6199621061095968e-05,17,0.8876194953918457,C,0.006752934772521257,19
80,32,35,1.553737263293442e-07,C,1.482221463622313e-11,20,0.3939642310142517,(,0.04637378454208374,19
81,9,12,0.23364487290382385,C,2.136281727871392e-05,11,0.7652567028999329,1,0.7660948038101196,20
82,18,22,0.00036367162829265,C,1.8122547089660657e-06,21,0.9991315007209778,2,0.9991958141326904,20
83,25,28,0.0004142868856433779,C,0.0005779499770142138,27,0.9976291060447693,O,0.9979150891304016,20
84,36,41,0.10764538496732712,C,0.002079195808619261,28,0.368562251329422,),0.3440214693546295,20
85,9,12,6.393142371052818e-07,C,6.546955546582467e-07,11,0.9999858140945435,O,0.9999876022338867,21
