,position of first of a pair,position of second of a pair,score of first of a pair,token before the pair,score of the token before the pair,position of max score in saliency map,max score in saliency map,max score token,sum of score between pair,which smile
0,11,14,8.881423809725675e-07,C,6.143779707201702e-09,13,0.9999501705169678,O,0.9999502897262573,0
1,20,24,0.027089815586805344,N,0.06400767713785172,23,0.777869462966919,1,0.7886060476303101,0
2,27,30,1.1183925600198903e-23,C,3.5762494800884366e-23,29,1.0,O,1.0,0
3,32,34,0.24079769849777222,N,0.02602226473391056,32,0.24079769849777222,(,0.024939537048339844,0
4,19,24,4.4272724153415766e-08,C,5.513756118347146e-10,17,0.9925535321235657,C,2.108133583260231e-16,1
5,26,29,0.0,C,0.0,19,0.9241781830787659,(,0.0,1
6,35,38,6.540797767229378e-05,C,1.12365715690399e-12,16,0.797450840473175,=,4.8577099676094804e-08,1
7,40,42,2.0340672563179396e-05,C,0.00037768142647109926,29,0.5961888432502747,),3.205806820005819e-07,1
8,10,14,6.379098828791926e-16,C,7.807969797212254e-23,13,1.0,1,1.0,2
9,20,25,1.4699469197410053e-08,N,4.090692982572364e-06,24,0.8200032711029053,C,0.9999895095825195,2
10,27,30,2.486923449396272e-06,C,2.68343740117416e-07,29,0.999947190284729,O,0.9999557137489319,2
11,38,40,7.171317520260345e-06,N,1.6089441601252474e-07,1,0.9999881982803345,Cl,1.1410102018771795e-07,2
12,4,7,6.366677212099603e-07,S,1.2391818682289113e-09,6,0.9999994039535522,O,0.9999994039535522,3
13,8,10,0.009173665195703506,),0.0026684594340622425,3,0.6477153301239014,S,0.3133631646633148,3
14,15,18,6.127300444802586e-09,C,2.6973017952514056e-07,17,0.9999994039535522,O,0.9999995231628418,3
15,28,33,0.0004597743391059339,C,3.999444005142738e-12,20,0.9620847105979919,C,3.790335753595109e-11,3
16,15,19,1.063205104401277e-06,C,2.8537931484606816e-06,18,0.9333134293556213,2,0.9333139061927795,4
17,21,24,2.3915504313960813e-35,C,2.031596784621582e-34,23,1.0,O,1.0,4
18,35,39,5.139320080616017e-10,C,1.9945700906881525e-12,24,0.9882414937019348,),1.086940338836402e-16,4
19,11,16,0.0011480475077405572,C,0.00014432483294513077,2,0.916889488697052,#,0.05277058109641075,5
20,19,21,1.0994400554409367e-06,N,1.8147441096516559e-06,2,0.9946881532669067,#,3.251517046010122e-05,5
21,23,26,2.5688773865297793e-17,C,2.3862866961676815e-17,25,1.0,O,1.0,5
22,5,7,4.963250788136975e-08,C,2.584119647508487e-05,6,0.9999741315841675,N,0.9999741315841675,6
23,16,19,6.590143497345353e-21,C,8.847112128516193e-24,18,1.0,O,1.0,6
24,23,26,5.586705859382632e-16,C,1.5751144143666343e-20,25,1.0,O,1.0,6
25,28,30,0.041444141417741776,N,0.042340364307165146,29,0.10898078233003616,C,0.10898078233003616,6
26,32,34,0.0008751261630095541,C,6.886932533234358e-05,27,0.9613998532295227,N,0.0025553954765200615,6
27,36,38,0.00038604403380304575,C,1.6341837749678234e-07,19,0.9864577651023865,),8.976715548669745e-08,6
28,39,41,0.0036196974106132984,),1.5757765936541546e-07,36,0.5062882900238037,(,1.1171830010425765e-05,6
29,16,21,8.694866664882284e-06,C,1.1321737929392839e-06,8,0.8685216903686523,N,0.021618006750941277,7
30,23,26,5.683749274368506e-20,C,7.149218939641837e-22,25,1.0,O,1.0,7
31,32,36,1.8140361135010608e-05,N,4.718271611636737e-06,7,0.8199229836463928,1,0.010763600468635559,7
32,38,41,9.885265050968428e-09,C,1.1201407639979677e-12,40,0.9999998807907104,O,0.9999999403953552,7
33,14,16,3.3437862260966497e-15,C,4.936167918856427e-09,6,0.7760605216026306,N,3.0812232919199406e-14,8
34,20,23,1.0819556950053221e-29,C,1.2433451275784172e-27,22,1.0,O,1.0,8
35,29,31,7.845409738527209e-11,C,5.103826669833941e-16,20,0.9117142558097839,(,7.855036269328007e-15,8
36,15,18,1.429367983725507e-35,C,4.3372289418549576e-40,17,1.0,O,1.0,9
37,28,31,5.535878422335827e-10,C,5.356527938218947e-14,22,0.9089810252189636,1,0.09101533144712448,9
38,26,34,7.480961130568176e-07,N,7.95865105374105e-07,33,0.6213071346282959,O,0.621353268623352,9
39,42,47,0.0,C,0.0,31,0.9984219074249268,),0.0,9
