,position of first of a pair,position of second of a pair,score of first of a pair,token before the pair,score of the token before the pair,position of max score in saliency map,max score in saliency map,max score token,sum of score between pair,which smile
0,11,14,8.881423809725675e-07,C,6.143779707201702e-09,5,4.8786780098453164e-05,O,1.214776403912765e-07,0
1,20,24,0.027089815586805344,N,0.06400767713785172,19,0.06400767713785172,N,0.010736560449004173,0
2,27,30,1.1183925600198903e-23,C,3.5762494800884366e-23,17,6.975710265405892e-19,C,3.209291644927668e-22,0
3,32,34,0.24079769849777222,N,0.02602226473391056,32,0.24079769849777222,(,0.0,0
4,19,24,4.4272724153415766e-08,C,5.513756118347146e-10,17,0.9925535321235657,C,5.317648027444121e-18,1
5,26,29,0.0,C,0.0,19,0.9241781830787659,(,0.0,1
6,35,38,6.540797767229378e-05,C,1.12365715690399e-12,16,0.797450840473175,=,2.9006469535325374e-12,1
7,40,42,2.0340672563179396e-05,C,0.00037768142647109926,29,0.5961888432502747,),0.0,1
8,10,14,6.379098828791926e-16,C,7.807969797212254e-23,1,8.07276734349216e-09,Cl,1.7101086985295971e-13,2
9,20,25,1.4699469197410053e-08,N,4.090692982572364e-06,23,0.17998382449150085,1,0.17998623847961426,2
10,27,30,2.486923449396272e-06,C,2.68343740117416e-07,25,3.683493196149357e-05,),8.545862328901421e-06,2
11,38,40,7.171317520260345e-06,N,1.6089441601252474e-07,1,0.9999881982803345,Cl,0.0,2
12,4,7,6.366677212099603e-07,S,1.2391818682289113e-09,4,6.366677212099603e-07,(,8.248282057365941e-09,3
13,8,10,0.009173665195703506,),0.0026684594340622425,3,0.6477153301239014,S,0.0,3
14,15,18,6.127300444802586e-09,C,2.6973017952514056e-07,14,2.6973017952514056e-07,C,1.4312507801150787e-07,3
15,28,33,0.0004597743391059339,C,3.999444005142738e-12,20,0.9620847105979919,C,4.222988603773403e-13,3
16,15,19,1.063205104401277e-06,C,2.8537931484606816e-06,9,0.06544719636440277,N,4.69383991230643e-07,4
17,21,24,2.3915504313960813e-35,C,2.031596784621582e-34,9,3.115736250219814e-18,N,2.0760787851632215e-36,4
18,35,39,5.139320080616017e-10,C,1.9945700906881525e-12,24,0.9882414937019348,),2.948345913512052e-18,4
19,11,16,0.0011480475077405572,C,0.00014432483294513077,2,0.916889488697052,#,0.0027375847566872835,5
20,19,21,1.0994400554409367e-06,N,1.8147441096516559e-06,2,0.9946881532669067,#,0.0,5
21,23,26,2.5688773865297793e-17,C,2.3862866961676815e-17,19,2.990588399143235e-08,(,5.8074141239506985e-24,5
22,5,7,4.963250788136975e-08,C,2.584119647508487e-05,4,2.584119647508487e-05,C,0.0,6
23,16,19,6.590143497345353e-21,C,8.847112128516193e-24,17,1.1229997349488088e-18,=,1.1229997349488088e-18,6
24,23,26,5.586705859382632e-16,C,1.5751144143666343e-20,23,5.586705859382632e-16,(,5.973721315508091e-20,6
25,28,30,0.041444141417741776,N,0.042340364307165146,21,0.09932664781808853,C,0.0,6
26,32,34,0.0008751261630095541,C,6.886932533234358e-05,27,0.9613998532295227,N,0.0,6
27,36,38,0.00038604403380304575,C,1.6341837749678234e-07,19,0.9864577651023865,),0.0,6
28,39,41,0.0036196974106132984,),1.5757765936541546e-07,36,0.5062882900238037,(,0.0,6
29,16,21,8.694866664882284e-06,C,1.1321737929392839e-06,8,0.8685216903686523,N,5.9377856814535335e-05,7
30,23,26,5.683749274368506e-20,C,7.149218939641837e-22,8,4.437313719306625e-19,N,3.587023231402514e-19,7
31,32,36,1.8140361135010608e-05,N,4.718271611636737e-06,7,0.8199229836463928,1,0.002666191663593054,7
32,38,41,9.885265050968428e-09,C,1.1201407639979677e-12,39,7.114500277793923e-08,=,7.114500277793923e-08,7
33,14,16,3.3437862260966497e-15,C,4.936167918856427e-09,6,0.7760605216026306,N,0.0,8
34,20,23,1.0819556950053221e-29,C,1.2433451275784172e-27,6,6.24398444060148e-09,N,1.703731096165496e-32,8
35,29,31,7.845409738527209e-11,C,5.103826669833941e-16,20,0.9117142558097839,(,0.0,8
36,15,18,1.429367983725507e-35,C,4.3372289418549576e-40,16,6.159129604523264e-31,=,6.159129604523264e-31,9
37,28,31,5.535878422335827e-10,C,5.356527938218947e-14,22,0.9089810252189636,1,1.5489957927439235e-10,9
38,26,34,7.480961130568176e-07,N,7.95865105374105e-07,18,0.25179994106292725,),4.616643491317518e-05,9
39,42,47,0.0,C,0.0,31,0.9984219074249268,),0.0,9
40,6,8,3.727229636041329e-09,C,1.0822770946106175e-07,5,1.0822770946106175e-07,C,0.0,10
41,21,26,3.0071519547484465e-14,C,2.6070424742890164e-15,17,0.8228590488433838,=,5.123713309369577e-15,10
42,28,31,1.8315763402471097e-13,C,1.0588200678913768e-14,19,0.00022860229364596307,O,6.737941774621545e-14,10
43,13,16,6.396166977982897e-20,C,1.8094168513145798e-18,10,9.735828809809277e-10,C,3.1083253452414954e-20,11
44,32,36,6.57387170762957e-21,C,1.0878400718239891e-22,21,0.9763504862785339,C,1.0433689691480227e-23,11
45,6,8,6.097246085801089e-08,C,3.365349039086141e-05,1,0.6879574656486511,C,0.0,12
46,9,11,1.4166586481678678e-07,),1.2550611058035504e-15,9,1.4166586481678678e-07,(,0.0,12
47,20,26,5.830524187370664e-14,C,3.695388179486558e-12,12,0.9999990463256836,O,4.786096649209148e-13,12
48,28,31,2.0894567853702029e-07,S,7.858306503294443e-07,12,1.1878930308739655e-05,O,3.3392593650205527e-06,12
49,32,35,1.9397432424739236e-06,),4.786415956914425e-07,33,0.00048342428635805845,=,0.00048342428635805845,12
50,16,19,0.04448196664452553,C,0.004693941213190556,16,0.04448196664452553,(,0.011262129060924053,13
51,25,28,9.115673814471855e-20,C,3.618528650697712e-21,19,0.9999988079071045,),9.713460776437943e-30,13
52,36,41,1.6251740930783853e-07,C,3.562801963175044e-12,19,0.9761084914207458,),3.1496272256958946e-10,13
53,14,17,1.3108425456209716e-08,C,1.6020073871914065e-06,11,0.00014954624930396676,C,2.3261857222678373e-06,14
54,25,30,0.07018125057220459,C,0.023972591385245323,25,0.07018125057220459,(,0.04293174296617508,14
55,32,34,8.858242364243182e-27,C,0.0,32,8.858242364243182e-27,(,0.0,14
56,35,37,6.777718793591961e-27,),1.3796284833416465e-25,33,1.0,F,0.0,14
57,6,8,7.169208976476327e-11,C,3.668304326964744e-09,2,0.9999942779541016,C,0.0,15
58,11,14,1.1706601071637124e-05,N,0.9822611212730408,10,0.9822611212730408,N,2.3272210114555492e-07,15
59,16,18,0.05282452702522278,C,0.23983889818191528,15,0.23983889818191528,C,0.0,15
60,22,25,5.176693917974262e-08,C,2.3395664072722866e-08,19,5.768683877249714e-06,C,5.164363603427091e-09,15
61,33,35,1.380734138134443e-10,C,6.621026328933925e-24,25,0.9997673630714417,),0.0,15
62,3,5,1.440276121023737e-13,C,2.4631066287832362e-17,1,1.4860728647647647e-08,F,0.0,16
63,6,8,2.807025722972867e-10,),6.448211756215905e-12,1,0.9999955892562866,F,0.0,16
64,11,14,1.3674038568112223e-09,C,9.197737016464202e-10,9,4.6805838792352006e-05,O,6.733261170843718e-11,16
65,20,23,4.445720591661484e-08,C,4.984533896745802e-10,18,0.81971675157547,C,2.721885051076997e-26,16
66,25,28,8.220501075217288e-17,C,1.0809350572201037e-17,26,6.548813632356468e-15,=,6.548813632356468e-15,16
67,36,39,0.31900477409362793,C,0.00019328706548549235,34,0.556155264377594,O,1.6433682858973953e-08,16
68,40,42,0.00037787554902024567,),6.8703713829165736e-09,20,0.5479137897491455,(,0.0,16
69,9,12,2.1510356873477576e-06,C,8.239889837113878e-08,10,0.0733831450343132,S,0.0733831450343132,17
